session_id,participant__id_in_session,participant__code,page_index,app_name,page_name,time_stamp,seconds_on_page,subsession_pk,auto_submitted
2,4,9ei3nvt1,9,matrix_new,q3,1564769855,10,2,FALSE
2,4,9ei3nvt1,10,matrix_new,q4,1564769859,4,2,FALSE
2,4,9ei3nvt1,11,matrix_new,q5,1564769868,9,2,FALSE
2,4,9ei3nvt1,12,matrix_new,q6,1564769881,13,2,FALSE
2,4,9ei3nvt1,13,matrix_new,q7,1564769884,3,2,FALSE
2,4,9ei3nvt1,14,matrix_new,q8,1564769890,6,2,FALSE
2,4,9ei3nvt1,15,matrix_new,q9,1564769896,6,2,FALSE
2,4,9ei3nvt1,16,matrix_new,q10,1564769909,13,2,FALSE
2,4,9ei3nvt1,17,matrix_new,Results,1564769913,4,2,FALSE
2,4,9ei3nvt1,18,matrix_new,Payoff2,1564769918,5,2,FALSE
2,4,9ei3nvt1,19,discreteT,Introduction,1564769975,57,2,FALSE
2,4,9ei3nvt1,20,discreteT,Introduction2,1564770005,30,2,FALSE
2,4,9ei3nvt1,21,discreteT,Discrete,1564770013,8,2,FALSE
2,4,9ei3nvt1,22,discreteT,Belief,1564770030,17,2,FALSE
2,4,9ei3nvt1,23,discreteT,Belief3,1564770054,24,2,FALSE
2,4,9ei3nvt1,24,discreteT,Results,1564770064,10,2,FALSE
2,4,9ei3nvt1,25,openquestion,Introduction,1564770120,56,2,FALSE
2,4,9ei3nvt1,26,openquestion,Likert,1564770149,29,2,FALSE
2,4,9ei3nvt1,27,scl,Instructions,1564770153,4,2,FALSE
2,4,9ei3nvt1,28,scl,Decision,1564770162,9,2,FALSE
2,4,9ei3nvt1,29,scl,Results,1564770164,2,2,FALSE
2,4,9ei3nvt1,30,BFI_S,Introduction,1564770166,2,2,FALSE
2,4,9ei3nvt1,31,BFI_S,Questionaire,1564770185,19,2,FALSE
2,4,9ei3nvt1,32,final_payoff,Results,1564770191,6,2,FALSE
2,4,9ei3nvt1,33,payment_info,PaymentInfo,1564770193,2,2,FALSE
2,6,88g68o5v,1,Demographic,Introduction,1564769701,1258,2,FALSE
2,6,88g68o5v,2,Demographic,Questionaire,1564769721,20,2,FALSE
2,6,88g68o5v,3,matrix_new,Start,1564769737,16,2,FALSE
2,6,88g68o5v,4,matrix_new,training,1564769757,20,2,FALSE
2,6,88g68o5v,5,matrix_new,training2,1564769767,10,2,FALSE
2,6,88g68o5v,6,matrix_new,training3,1564769772,5,2,FALSE
2,6,88g68o5v,7,matrix_new,q1,1564769779,7,2,FALSE
2,6,88g68o5v,8,matrix_new,q2,1564769803,24,2,FALSE
2,6,88g68o5v,9,matrix_new,q3,1564769820,17,2,FALSE
2,6,88g68o5v,10,matrix_new,q4,1564769841,21,2,FALSE
2,6,88g68o5v,11,matrix_new,q5,1564769851,10,2,FALSE
2,6,88g68o5v,12,matrix_new,q6,1564769877,26,2,FALSE
2,6,88g68o5v,13,matrix_new,q7,1564769881,4,2,FALSE
2,6,88g68o5v,14,matrix_new,q8,1564769896,15,2,FALSE
2,6,88g68o5v,15,matrix_new,q9,1564769903,7,2,FALSE
2,6,88g68o5v,16,matrix_new,q10,1564769908,5,2,FALSE
2,6,88g68o5v,17,matrix_new,Results,1564769916,8,2,FALSE
2,6,88g68o5v,18,matrix_new,Payoff2,1564769921,5,2,FALSE
2,6,88g68o5v,19,discreteT,Introduction,1564769996,75,2,FALSE
2,6,88g68o5v,20,discreteT,Introduction2,1564770016,20,2,FALSE
2,6,88g68o5v,21,discreteT,Discrete,1564770021,5,2,FALSE
2,6,88g68o5v,22,discreteT,Belief,1564770052,31,2,FALSE
2,6,88g68o5v,23,discreteT,Belief3,1564770146,94,2,FALSE
2,6,88g68o5v,24,discreteT,Results,1564770157,11,2,FALSE
2,6,88g68o5v,25,openquestion,Introduction,1564770296,139,2,FALSE
2,6,88g68o5v,26,openquestion,Likert,1564770349,53,2,FALSE
2,6,88g68o5v,27,scl,Instructions,1564770364,15,2,FALSE
2,6,88g68o5v,28,scl,Decision,1564770382,18,2,FALSE
2,6,88g68o5v,29,scl,Results,1564770387,5,2,FALSE
2,6,88g68o5v,30,BFI_S,Introduction,1564770389,2,2,FALSE
2,6,88g68o5v,31,BFI_S,Questionaire,1564770433,44,2,FALSE
2,6,88g68o5v,32,final_payoff,Results,1564770445,12,2,FALSE
2,6,88g68o5v,33,payment_info,PaymentInfo,1564770447,2,2,FALSE
2,8,yuigh0ob,1,Demographic,Introduction,1564769728,1283,2,FALSE
2,8,yuigh0ob,2,Demographic,Questionaire,1564769749,21,2,FALSE
2,8,yuigh0ob,3,matrix_new,Start,1564769957,208,2,FALSE
2,8,yuigh0ob,4,matrix_new,training,1564769974,17,2,FALSE
2,8,yuigh0ob,5,matrix_new,training2,1564769980,6,2,FALSE
2,8,yuigh0ob,6,matrix_new,training3,1564769982,2,2,FALSE
2,8,yuigh0ob,7,matrix_new,q1,1564769987,5,2,FALSE
2,8,yuigh0ob,8,matrix_new,q2,1564770000,13,2,FALSE
2,8,yuigh0ob,9,matrix_new,q3,1564770006,6,2,FALSE
2,8,yuigh0ob,10,matrix_new,q4,1564770030,24,2,FALSE
2,8,yuigh0ob,11,matrix_new,q5,1564770036,6,2,FALSE
2,8,yuigh0ob,12,matrix_new,q6,1564770049,13,2,FALSE
2,8,yuigh0ob,13,matrix_new,q7,1564770060,11,2,FALSE
2,8,yuigh0ob,14,matrix_new,q8,1564770106,46,2,FALSE
2,8,yuigh0ob,15,matrix_new,q9,1564770117,11,2,FALSE
2,8,yuigh0ob,16,matrix_new,q10,1564770124,7,2,FALSE
2,8,yuigh0ob,17,matrix_new,Results,1564770131,7,2,FALSE
2,8,yuigh0ob,18,matrix_new,Payoff2,1564770155,24,2,FALSE
2,8,yuigh0ob,19,discreteT,Introduction,1564770326,171,2,FALSE
2,8,yuigh0ob,20,discreteT,Introduction2,1564770362,36,2,FALSE
2,8,yuigh0ob,21,discreteT,Discrete,1564770366,4,2,FALSE
2,8,yuigh0ob,22,discreteT,Belief,1564770444,78,2,FALSE
2,8,yuigh0ob,23,discreteT,Belief3,1564770516,72,2,FALSE
2,8,yuigh0ob,24,discreteT,Results,1564770524,8,2,FALSE
2,8,yuigh0ob,25,openquestion,Introduction,1564770603,79,2,FALSE
2,8,yuigh0ob,26,openquestion,Likert,1564770625,22,2,FALSE
2,8,yuigh0ob,27,scl,Instructions,1564770903,278,2,FALSE
2,8,yuigh0ob,28,scl,Decision,1564770912,9,2,FALSE
2,8,yuigh0ob,29,scl,Results,1564770915,3,2,FALSE
