ID,Age,Gender,Ethnicity,Education,Round9,True Average,P1,P2,P3,P4,P5,P6,P7,P8,P9,P12,P13,P14
14,4,0,White,4,15.23,11.264,20.5,15,18,15,12,14.2,14,15,11.264,13,16,15.3
26,10,1,White,4,7.63,9.949,9.63,8,15,8,5,9.3,11.02,15,9.949,10,8,9.5
32,4,0,White,4,24.58,15.708,28.58,20,20,25,20,23.2,15,19,15.708,26,26,24.3
38,6,0,White,4,9.48,9.791,10.48,10,16,10,12,14.2,14.6,12.5,9.791,10.5,8,16.1
41,5,1,White,4,13.04,12.553,16.04,13,25,13,12,17.1,22,14,12.553,14,15,13.55
47,6,0,White,4,22.8,20.586,19.82,28,19,25,25.1,10.45,14.4,17.16,21,,,
49,3,0,White,4,26.24,23.009,20.12,30,23,20,20.57,4.38,9.8,21.28,22,,,
52,3,1,Black,4,4.56,8.048,7.92,7,8,5,7.89,11.13,7.75,17.68,3,,,
56,3,1,White,4,23.95,23.01,20.09,27,21,20,24.15,21.48,11.5,10.61,21,,,
61,3,1,Black,4,14.58,14.195,16.39,18,15,10,15.15,41.71,7,18.16,12,,,
63,3,1,White,4,10.06,13.45,12.19,15,11,10,10.07,21.25,9.5,26.28,9,,,
66,3,0,Black,4,16.66,13.149,12.32,12,18,10,17.53,21.86,10,10.08,11,,,
77,5,0,White,4,32.52,20.402,28.92,40,25,30,30.57,17.09,31.11,19.08,32,,,
80,9,1,White,4,12.67,11.644,17.37,11,15,20,13.15,7.89,14.7,17.48,11,,,
82,7,1,White,4,82.03,33.87,65.37,60,42,35,65.78,5.36,14.75,12.48,80,,,
4,9,1,White,3,14.78,16.109,25.5,15,20,15,15,16,12,17,16.109,15.5,15,15.4
20,4,1,White,3,20.61,19.785,25.61,20,30,21,17,19.2,20,16,19.785,18,18,19.1
27,8,1,White,3,26.12,22.648,29.12,25,30,26,21,30,11,24,22.648,30,25,27.2
37,6,1,White,3,12.24,16.089,15.25,13,15,12,14,14.5,18,13,16.089,10,15,13
78,9,0,White,3,21.48,23.545,27.93,25,23,35,31.15,22.8,9.72,16.15,20,,,
